studentId,adm_year,semester,major1,major2,major3,title,day,starttime,endtime
16,2018,4,컴퓨터공학,,,컴퓨터공학설계및실험I,화,5 ,6
17,2018,4,컴퓨터공학,,,디지털회로개론,"월,수",3 ,3 
17,2018,4,컴퓨터공학,,,미적분학II,"월,수",4 ,5
17,2018,4,컴퓨터공학,,,알고리즘설계와분석,"화,목",2 ,2 
17,2018,4,컴퓨터공학,,,자료구조,"화,목",3 ,3
17,2018,4,컴퓨터공학,,,컴퓨터공학설계및실험I,화,5 ,6
18,2018,4,컴퓨터공학,,,디지털회로개론,"월,수",3 ,3
18,2018,4,컴퓨터공학,,,자료구조,"화,목",2 ,2
18,2018,4,컴퓨터공학,,,알고리즘설계와분석,"화,목",3 ,3
18,2018,4,컴퓨터공학,,,컴퓨터공학실험II,수,5 ,6
18,2018,4,컴퓨터공학,,,이산구조,"화,목",4 ,4
19,2018,4,컴퓨터공학,,,알고리즘설계와분석,"화,목",2 ,2
19,2018,4,컴퓨터공학,,,논리와비판적사고,"화,목",1 ,1
19,2018,4,컴퓨터공학,,,응용수학II,"화,목",4 ,4
19,2018,4,컴퓨터공학,,,논리와비판적사고,"수,금",4 ,4
19,2018,4,컴퓨터공학,,,컴퓨터공학실험II,금,5 ,6
20,2018,4,컴퓨터공학,,,JAVA언어,"월,수",2 ,2 
20,2018,4,컴퓨터공학,,,디지털회로개론,"월,수",3 ,3 
20,2018,4,컴퓨터공학,,,응용수학II,"화,목",4 ,4 
20,2018,4,컴퓨터공학,,,골프,화,5 ,6
20,2018,4,컴퓨터공학,,,철학적인간학,"수,금",4 ,4
20,2018,4,컴퓨터공학,,,컴퓨터공학실험II,금,5 ,6
